Starting power measurement at 1ms intervals...
Number of GPUs: 1
Number of GPUs: 1
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.393340 , GPU Power: 59.127003 W , Interval: 10000 us ,Call: 4 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.398317 , CPU Power: 73.801804 W , Interval: 999 us ,Call: 45 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.393340 , GPU Power: 59.127003 W , Interval: 10000 us ,Call: 4 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.399318 , CPU Power: 81.919998 W , Interval: 1000 us ,Call: 46 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.393340 , GPU Power: 59.127003 W , Interval: 10000 us ,Call: 4 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.400318 , CPU Power: 82.001999 W , Interval: 999 us ,Call: 47 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.393340 , GPU Power: 59.127003 W , Interval: 10000 us ,Call: 4 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.401317 , CPU Power: 90.202202 W , Interval: 999 us ,Call: 48 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.393340 , GPU Power: 59.127003 W , Interval: 10000 us ,Call: 4 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.402318 , CPU Power: 90.112000 W , Interval: 1000 us ,Call: 49 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.393340 , GPU Power: 59.127003 W , Interval: 10000 us ,Call: 4 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.403318 , CPU Power: 57.344002 W , Interval: 1000 us ,Call: 50 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.393340 , GPU Power: 59.127003 W , Interval: 10000 us ,Call: 4 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.404318 , CPU Power: 81.919998 W , Interval: 1000 us ,Call: 51 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.393340 , GPU Power: 59.127003 W , Interval: 10000 us ,Call: 4 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.405320 , CPU Power: 73.654343 W , Interval: 1001 us ,Call: 52 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.393340 , GPU Power: 59.127003 W , Interval: 10000 us ,Call: 4 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.405320 , CPU Power: 82.001999 W , Interval: 999 us ,Call: 53 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.403341 , GPU Power: 59.127003 W , Interval: 10000 us ,Call: 5 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.407318 , CPU Power: 82.001999 W , Interval: 999 us ,Call: 54 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.403341 , GPU Power: 59.127003 W , Interval: 10000 us ,Call: 5 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.408318 , CPU Power: 73.801804 W , Interval: 999 us ,Call: 55 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.403341 , GPU Power: 59.127003 W , Interval: 10000 us ,Call: 5 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.409318 , CPU Power: 82.001999 W , Interval: 999 us ,Call: 56 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.403341 , GPU Power: 59.127003 W , Interval: 10000 us ,Call: 5 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.410317 , CPU Power: 98.402405 W , Interval: 999 us ,Call: 57 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.403341 , GPU Power: 59.127003 W , Interval: 10000 us ,Call: 5 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.411317 , CPU Power: 65.601601 W , Interval: 999 us ,Call: 58 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.403341 , GPU Power: 59.127003 W , Interval: 10000 us ,Call: 5 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.412317 , CPU Power: 73.801804 W , Interval: 999 us ,Call: 59 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.403341 , GPU Power: 59.127003 W , Interval: 10000 us ,Call: 5 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.413317 , CPU Power: 106.496002 W , Interval: 1000 us ,Call: 60 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.403341 , GPU Power: 59.127003 W , Interval: 10000 us ,Call: 5 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.414317 , CPU Power: 82.001999 W , Interval: 999 us ,Call: 61 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.403341 , GPU Power: 59.127003 W , Interval: 10000 us ,Call: 5 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.415317 , CPU Power: 65.536003 W , Interval: 1000 us ,Call: 62 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.403341 , GPU Power: 59.127003 W , Interval: 10000 us ,Call: 5 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.416317 , CPU Power: 65.601601 W , Interval: 999 us ,Call: 63 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.413341 , GPU Power: 59.127003 W , Interval: 10000 us ,Call: 6 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.417318 , CPU Power: 81.919998 W , Interval: 1000 us ,Call: 64 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.413341 , GPU Power: 59.127003 W , Interval: 10000 us ,Call: 6 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.418317 , CPU Power: 98.402405 W , Interval: 999 us ,Call: 65 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.413341 , GPU Power: 59.127003 W , Interval: 10000 us ,Call: 6 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.419317 , CPU Power: 81.919998 W , Interval: 1000 us ,Call: 66 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.413341 , GPU Power: 59.127003 W , Interval: 10000 us ,Call: 6 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.420317 , CPU Power: 73.727997 W , Interval: 1000 us ,Call: 67 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.413341 , GPU Power: 59.127003 W , Interval: 10000 us ,Call: 6 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.421318 , CPU Power: 81.919998 W , Interval: 1000 us ,Call: 68 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.413341 , GPU Power: 59.127003 W , Interval: 10000 us ,Call: 6 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.422317 , CPU Power: 82.001999 W , Interval: 999 us ,Call: 69 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.413341 , GPU Power: 59.127003 W , Interval: 10000 us ,Call: 6 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.423317 , CPU Power: 73.801804 W , Interval: 999 us ,Call: 70 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.413341 , GPU Power: 59.127003 W , Interval: 10000 us ,Call: 6 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.424319 , CPU Power: 73.654343 W , Interval: 1001 us ,Call: 71 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.413341 , GPU Power: 59.127003 W , Interval: 10000 us ,Call: 6 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.425318 , CPU Power: 82.001999 W , Interval: 999 us ,Call: 72 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.413341 , GPU Power: 59.127003 W , Interval: 10000 us ,Call: 6 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.426318 , CPU Power: 90.202202 W , Interval: 999 us ,Call: 73 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.413341 , GPU Power: 59.127003 W , Interval: 10000 us ,Call: 6 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.427317 , CPU Power: 57.401402 W , Interval: 999 us ,Call: 74 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.413341 , GPU Power: 59.127003 W , Interval: 10000 us ,Call: 6 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.428317 , CPU Power: 98.304001 W , Interval: 1000 us ,Call: 75 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.423341 , GPU Power: 60.300003 W , Interval: 9999 us ,Call: 7 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.429317 , CPU Power: 49.152000 W , Interval: 1000 us ,Call: 76 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.423341 , GPU Power: 60.300003 W , Interval: 9999 us ,Call: 7 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.430317 , CPU Power: 98.402405 W , Interval: 999 us ,Call: 77 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.423341 , GPU Power: 60.300003 W , Interval: 9999 us ,Call: 7 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.431317 , CPU Power: 90.112000 W , Interval: 1000 us ,Call: 78 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.423341 , GPU Power: 60.300003 W , Interval: 9999 us ,Call: 7 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.432317 , CPU Power: 73.801804 W , Interval: 999 us ,Call: 79 , 
